Schema Version,Action ID,Priority,Severity,Control Area,Title,Owner,Status,Due,Artifact,Why,Evidence References,Acceptance Criteria
svikruti-actions-v1,SVK-ACT-001,P0,CRITICAL,Notice transparency,Update privacy notice for Children,Legal / Privacy,Open,Before launch / next release,Privacy notice change,"Svikruti detected Children data in engineering evidence, but not in the notice text.",rails_students.rb; react_signup.tsx,"Privacy notice explicitly covers Children data or documents why it is out of scope.; Purpose, retention, rights path, and withdrawal/complaint path are reviewed.; Svikruti scan is rerun and attached to the ticket."
svikruti-actions-v1,SVK-ACT-002,P0,CRITICAL,Security safeguards,Reduce Children logging exposure,Engineering / Security,Open,Before launch / next release,Logging redaction control,Personal data appears near logging statements.,rails_students.rb,"Personal data is masked, hashed, removed, or justified in logs.; Log retention is documented.; Regression test or code review evidence is attached."
svikruti-actions-v1,SVK-ACT-003,P1,HIGH,Security safeguards,Reduce Contact logging exposure,Engineering / Security,Open,Before launch / next release,Logging redaction control,Personal data appears near logging statements.,express_checkout.js; rails_students.rb,"Personal data is masked, hashed, removed, or justified in logs.; Log retention is documented.; Regression test or code review evidence is attached."
svikruti-actions-v1,SVK-ACT-004,P1,HIGH,Notice transparency,Update privacy notice for Device,Legal / Privacy,Open,Before launch / next release,Privacy notice change,"Svikruti detected Device data in engineering evidence, but not in the notice text.",customer_schema.sql; react_signup.tsx,"Privacy notice explicitly covers Device data or documents why it is out of scope.; Purpose, retention, rights path, and withdrawal/complaint path are reviewed.; Svikruti scan is rerun and attached to the ticket."
svikruti-actions-v1,SVK-ACT-005,P1,HIGH,Notice transparency,Update privacy notice for Financial,Legal / Privacy,Open,Before launch / next release,Privacy notice change,"Svikruti detected Financial data in engineering evidence, but not in the notice text.",express_checkout.js; laravel_checkout.php; schema.prisma,"Privacy notice explicitly covers Financial data or documents why it is out of scope.; Purpose, retention, rights path, and withdrawal/complaint path are reviewed.; Svikruti scan is rerun and attached to the ticket."
svikruti-actions-v1,SVK-ACT-006,P1,HIGH,Security safeguards,Reduce Financial logging exposure,Engineering / Security,Open,Before launch / next release,Logging redaction control,Personal data appears near logging statements.,laravel_checkout.php,"Personal data is masked, hashed, removed, or justified in logs.; Log retention is documented.; Regression test or code review evidence is attached."
svikruti-actions-v1,SVK-ACT-007,P0,CRITICAL,Notice transparency,Update privacy notice for Government ID,Legal / Privacy,Open,Before launch / next release,Privacy notice change,"Svikruti detected Government ID data in engineering evidence, but not in the notice text.",SpringCustomerController.java; customer_schema.sql; express_checkout.js; openapi.json; schema.prisma,"Privacy notice explicitly covers Government ID data or documents why it is out of scope.; Purpose, retention, rights path, and withdrawal/complaint path are reviewed.; Svikruti scan is rerun and attached to the ticket."
svikruti-actions-v1,SVK-ACT-008,P0,CRITICAL,Security safeguards,Reduce Government ID logging exposure,Engineering / Security,Open,Before launch / next release,Logging redaction control,Personal data appears near logging statements.,SpringCustomerController.java; express_checkout.js,"Personal data is masked, hashed, removed, or justified in logs.; Log retention is documented.; Regression test or code review evidence is attached."
svikruti-actions-v1,SVK-ACT-009,P0,CRITICAL,Notice transparency,Update privacy notice for Health,Legal / Privacy,Open,Before launch / next release,Privacy notice change,"Svikruti detected Health data in engineering evidence, but not in the notice text.",django_patient.py; go_patient.go,"Privacy notice explicitly covers Health data or documents why it is out of scope.; Purpose, retention, rights path, and withdrawal/complaint path are reviewed.; Svikruti scan is rerun and attached to the ticket."
svikruti-actions-v1,SVK-ACT-010,P0,CRITICAL,Security safeguards,Reduce Health logging exposure,Engineering / Security,Open,Before launch / next release,Logging redaction control,Personal data appears near logging statements.,go_patient.go,"Personal data is masked, hashed, removed, or justified in logs.; Log retention is documented.; Regression test or code review evidence is attached."
